year_month,year_number,quarter_number,category_name,sub_category_name,transaction_lines,units_sold,revenue,profit,margin_pct
2020-08,2020,3,Electronics,Phones,2,9,10428.0,1818.0,17.43
2020-08,2020,3,Electronics,Printers,1,14,5167.0,253.0,4.9
2020-08,2020,3,Furniture,Bookcases,2,8,5060.0,1640.0,32.41
2020-08,2020,3,Furniture,Chairs,1,4,7595.0,2873.0,37.83
2020-08,2020,3,Furniture,Sofas,4,15,18957.0,8343.0,44.01
2020-08,2020,3,Furniture,Tables,1,5,6218.0,1125.0,18.09
2020-08,2020,3,Office Supplies,Binders,1,12,1961.0,59.0,3.01
2020-08,2020,3,Office Supplies,Markers,1,20,9386.0,2555.0,27.22
2020-08,2020,3,Office Supplies,Paper,2,11,18852.0,9062.0,48.07
2020-09,2020,3,Electronics,Laptops,5,38,28795.0,7469.0,25.94
2020-09,2020,3,Electronics,Phones,1,13,8158.0,2052.0,25.15
2020-09,2020,3,Electronics,Printers,2,29,6087.0,1852.0,30.43
2020-09,2020,3,Furniture,Bookcases,1,3,3518.0,1051.0,29.87
2020-09,2020,3,Furniture,Chairs,2,28,13842.0,5959.0,43.05
2020-09,2020,3,Furniture,Sofas,3,42,18037.0,2606.0,14.45
2020-09,2020,3,Furniture,Tables,1,7,8851.0,3962.0,44.76
2020-09,2020,3,Office Supplies,Binders,1,17,5635.0,318.0,5.64
2020-09,2020,3,Office Supplies,Paper,2,24,6256.0,1891.0,30.23
2020-09,2020,3,Office Supplies,Pens,2,26,10255.0,2716.0,26.48
2020-10,2020,4,Electronics,Laptops,2,16,7560.0,466.0,6.16
2020-10,2020,4,Electronics,Phones,4,42,9915.0,1556.0,15.69
2020-10,2020,4,Electronics,Printers,2,28,10563.0,2274.0,21.53
2020-10,2020,4,Furniture,Bookcases,4,46,7565.0,1370.0,18.11
2020-10,2020,4,Furniture,Chairs,3,28,16822.0,3380.0,20.09
2020-10,2020,4,Furniture,Sofas,2,32,8849.0,1459.0,16.49
2020-10,2020,4,Furniture,Tables,1,8,8572.0,2041.0,23.81
2020-10,2020,4,Office Supplies,Binders,1,8,8293.0,2632.0,31.74
2020-10,2020,4,Office Supplies,Markers,1,16,1089.0,176.0,16.16
2020-10,2020,4,Office Supplies,Paper,2,23,15093.0,5997.0,39.73
2020-10,2020,4,Office Supplies,Pens,4,36,16515.0,3425.0,20.74
2020-11,2020,4,Electronics,Electronic Games,3,33,10520.0,3156.0,30.0
2020-11,2020,4,Electronics,Phones,1,14,5152.0,2045.0,39.69
2020-11,2020,4,Electronics,Printers,1,18,6488.0,1591.0,24.52
2020-11,2020,4,Furniture,Chairs,3,21,19987.0,4018.0,20.1
2020-11,2020,4,Furniture,Sofas,1,17,508.0,177.0,34.84
2020-11,2020,4,Furniture,Tables,4,53,8718.0,2540.0,29.14
2020-11,2020,4,Office Supplies,Binders,2,39,11910.0,3865.0,32.45
2020-11,2020,4,Office Supplies,Paper,4,46,27510.0,8899.0,32.35
2020-11,2020,4,Office Supplies,Pens,2,18,17377.0,2688.0,15.47
2020-12,2020,4,Furniture,Bookcases,2,20,11895.0,4003.0,33.65
2020-12,2020,4,Furniture,Chairs,1,2,738.0,342.0,46.34
2020-12,2020,4,Furniture,Tables,6,71,24064.0,5461.0,22.69
2020-12,2020,4,Office Supplies,Binders,1,6,8305.0,1577.0,18.99
2020-12,2020,4,Office Supplies,Markers,4,36,27385.0,9056.0,33.07
2020-12,2020,4,Office Supplies,Paper,2,11,12338.0,4070.0,32.99
2021-01,2021,1,Electronics,Electronic Games,1,5,2539.0,324.0,12.76
2021-01,2021,1,Electronics,Laptops,1,1,4371.0,1852.0,42.37
2021-01,2021,1,Electronics,Phones,1,8,2280.0,509.0,22.32
2021-01,2021,1,Furniture,Tables,1,2,3577.0,699.0,19.54
2021-01,2021,1,Office Supplies,Markers,2,27,6176.0,1625.0,26.31
2021-01,2021,1,Office Supplies,Paper,1,3,1548.0,666.0,43.02
2021-01,2021,1,Office Supplies,Pens,2,16,1696.0,774.0,45.64
2021-02,2021,1,Electronics,Electronic Games,1,13,5266.0,1111.0,21.1
2021-02,2021,1,Electronics,Laptops,1,14,2791.0,894.0,32.03
2021-02,2021,1,Electronics,Phones,4,43,29933.0,4646.0,15.52
2021-02,2021,1,Electronics,Printers,1,8,2792.0,1008.0,36.1
2021-02,2021,1,Furniture,Chairs,2,31,11289.0,3509.0,31.08
2021-02,2021,1,Furniture,Sofas,3,31,15183.0,4650.0,30.63
2021-02,2021,1,Furniture,Tables,1,10,8945.0,1728.0,19.32
2021-02,2021,1,Office Supplies,Paper,2,30,9525.0,1536.0,16.13
2021-02,2021,1,Office Supplies,Pens,2,7,4105.0,885.0,21.56
2021-03,2021,1,Electronics,Electronic Games,4,38,24829.0,7567.0,30.48
2021-03,2021,1,Electronics,Laptops,2,22,6991.0,3351.0,47.93
2021-03,2021,1,Electronics,Phones,1,9,702.0,238.0,33.9
2021-03,2021,1,Electronics,Printers,2,35,12707.0,6097.0,47.98
2021-03,2021,1,Furniture,Bookcases,3,33,11049.0,3226.0,29.2
2021-03,2021,1,Furniture,Chairs,1,8,5393.0,2642.0,48.99
2021-03,2021,1,Furniture,Sofas,1,8,6265.0,155.0,2.47
2021-03,2021,1,Office Supplies,Markers,2,18,16523.0,7654.0,46.32
2021-03,2021,1,Office Supplies,Pens,3,30,18739.0,5447.0,29.07
2021-04,2021,2,Electronics,Electronic Games,3,40,16685.0,3102.0,18.59
2021-04,2021,2,Electronics,Phones,1,16,9090.0,3098.0,34.08
2021-04,2021,2,Electronics,Printers,1,3,2737.0,1253.0,45.78
2021-04,2021,2,Furniture,Chairs,1,3,8636.0,3192.0,36.96
2021-04,2021,2,Furniture,Sofas,2,34,14360.0,3163.0,22.03
2021-04,2021,2,Furniture,Tables,1,10,6139.0,451.0,7.35
2021-04,2021,2,Office Supplies,Binders,1,15,8243.0,1346.0,16.33
2021-04,2021,2,Office Supplies,Markers,1,5,3348.0,568.0,16.97
2021-04,2021,2,Office Supplies,Pens,2,22,13225.0,2604.0,19.69
2021-05,2021,2,Electronics,Laptops,2,36,11618.0,4235.0,36.45
2021-05,2021,2,Electronics,Phones,2,13,7013.0,3318.0,47.31
2021-05,2021,2,Electronics,Printers,3,42,24728.0,5710.0,23.09
2021-05,2021,2,Furniture,Bookcases,1,11,5011.0,866.0,17.28
2021-05,2021,2,Furniture,Chairs,1,14,9035.0,1227.0,13.58
2021-05,2021,2,Furniture,Sofas,3,38,18271.0,2969.0,16.25
2021-05,2021,2,Furniture,Tables,2,22,9387.0,2095.0,22.32
2021-05,2021,2,Office Supplies,Binders,1,11,4706.0,594.0,12.62
2021-05,2021,2,Office Supplies,Markers,4,53,29554.0,7606.0,25.74
2021-05,2021,2,Office Supplies,Paper,1,5,4826.0,562.0,11.65
2021-06,2021,2,Electronics,Electronic Games,4,33,20888.0,4391.0,21.02
2021-06,2021,2,Electronics,Laptops,1,16,9204.0,3289.0,35.73
2021-06,2021,2,Electronics,Printers,1,5,9683.0,1014.0,10.47
2021-06,2021,2,Furniture,Bookcases,3,43,15512.0,5495.0,35.42
2021-06,2021,2,Furniture,Chairs,1,18,4046.0,417.0,10.31
2021-06,2021,2,Furniture,Sofas,2,19,8483.0,2842.0,33.5
2021-06,2021,2,Furniture,Tables,1,6,3090.0,573.0,18.54
2021-06,2021,2,Office Supplies,Binders,2,33,10018.0,2455.0,24.51
2021-06,2021,2,Office Supplies,Paper,2,25,14066.0,3933.0,27.96
2021-06,2021,2,Office Supplies,Pens,1,15,1626.0,258.0,15.87
2021-07,2021,3,Electronics,Electronic Games,2,23,18688.0,3719.0,19.9
2021-07,2021,3,Electronics,Laptops,1,3,4688.0,1841.0,39.27
2021-07,2021,3,Electronics,Printers,2,33,9566.0,3271.0,34.19
2021-07,2021,3,Furniture,Bookcases,1,7,1486.0,114.0,7.67
2021-07,2021,3,Office Supplies,Binders,1,4,3194.0,534.0,16.72
2021-07,2021,3,Office Supplies,Markers,2,20,11789.0,1346.0,11.42
2021-07,2021,3,Office Supplies,Paper,3,24,16683.0,3379.0,20.25
2021-07,2021,3,Office Supplies,Pens,2,34,19517.0,3205.0,16.42
2021-08,2021,3,Electronics,Laptops,1,14,5954.0,2640.0,44.34
2021-08,2021,3,Electronics,Phones,2,12,9807.0,3769.0,38.43
2021-08,2021,3,Furniture,Bookcases,2,25,11479.0,3376.0,29.41
2021-08,2021,3,Furniture,Chairs,1,16,9820.0,793.0,8.08
2021-08,2021,3,Furniture,Sofas,2,16,11265.0,1617.0,14.35
2021-08,2021,3,Furniture,Tables,3,32,12284.0,1276.0,10.39
2021-08,2021,3,Office Supplies,Binders,1,11,4706.0,594.0,12.62
2021-08,2021,3,Office Supplies,Markers,3,30,10786.0,1315.0,12.19
2021-08,2021,3,Office Supplies,Paper,1,15,1109.0,418.0,37.69
2021-08,2021,3,Office Supplies,Pens,1,20,2284.0,149.0,6.52
2021-09,2021,3,Electronics,Electronic Games,1,1,6934.0,1226.0,17.68
2021-09,2021,3,Electronics,Laptops,1,13,7821.0,3821.0,48.86
2021-09,2021,3,Electronics,Phones,1,20,6707.0,1041.0,15.52
2021-09,2021,3,Electronics,Printers,1,15,6351.0,986.0,15.53
2021-09,2021,3,Furniture,Bookcases,1,9,3129.0,55.0,1.76
2021-09,2021,3,Furniture,Sofas,1,16,1760.0,619.0,35.17
2021-09,2021,3,Office Supplies,Binders,4,22,14640.0,5318.0,36.33
2021-09,2021,3,Office Supplies,Paper,1,8,2451.0,342.0,13.95
2021-09,2021,3,Office Supplies,Pens,1,13,7633.0,184.0,2.41
2021-10,2021,4,Electronics,Electronic Games,1,11,8568.0,2419.0,28.23
2021-10,2021,4,Electronics,Phones,1,12,9498.0,256.0,2.7
2021-10,2021,4,Electronics,Printers,3,27,16152.0,3125.0,19.35
2021-10,2021,4,Furniture,Bookcases,3,28,22411.0,4683.0,20.9
2021-10,2021,4,Furniture,Sofas,2,24,7856.0,2594.0,33.02
2021-10,2021,4,Furniture,Tables,2,11,7404.0,2164.0,29.23
2021-10,2021,4,Office Supplies,Binders,1,7,9619.0,3420.0,35.55
2021-10,2021,4,Office Supplies,Markers,2,22,17510.0,2176.0,12.43
2021-10,2021,4,Office Supplies,Paper,4,29,25554.0,8229.0,32.2
2021-10,2021,4,Office Supplies,Pens,5,61,31639.0,5737.0,18.13
2021-11,2021,4,Electronics,Electronic Games,3,47,22947.0,4265.0,18.59
2021-11,2021,4,Electronics,Laptops,2,13,3310.0,751.0,22.69
2021-11,2021,4,Electronics,Printers,3,22,17743.0,2036.0,11.47
2021-11,2021,4,Furniture,Bookcases,3,39,19751.0,3394.0,17.18
2021-11,2021,4,Furniture,Chairs,2,24,5654.0,2124.0,37.57
2021-11,2021,4,Furniture,Sofas,4,44,14493.0,2532.0,17.47
2021-11,2021,4,Furniture,Tables,5,44,34142.0,10892.0,31.9
2021-11,2021,4,Office Supplies,Binders,2,26,7840.0,1059.0,13.51
2021-11,2021,4,Office Supplies,Markers,2,19,17795.0,4095.0,23.01
2021-11,2021,4,Office Supplies,Paper,1,8,2451.0,342.0,13.95
2021-11,2021,4,Office Supplies,Pens,1,9,4853.0,1764.0,36.35
2021-12,2021,4,Electronics,Electronic Games,2,23,3390.0,1021.0,30.12
2021-12,2021,4,Electronics,Laptops,3,33,17344.0,3866.0,22.29
2021-12,2021,4,Electronics,Phones,1,1,5442.0,1610.0,29.58
2021-12,2021,4,Furniture,Bookcases,3,57,20042.0,4244.0,21.18
2021-12,2021,4,Furniture,Chairs,3,37,18633.0,4072.0,21.85
2021-12,2021,4,Furniture,Sofas,2,15,7921.0,2354.0,29.72
2021-12,2021,4,Furniture,Tables,3,17,18141.0,2678.0,14.76
2021-12,2021,4,Office Supplies,Binders,1,20,5219.0,1180.0,22.61
2021-12,2021,4,Office Supplies,Markers,2,19,11451.0,2914.0,25.45
2021-12,2021,4,Office Supplies,Paper,3,46,13125.0,4454.0,33.94
2021-12,2021,4,Office Supplies,Pens,3,51,12575.0,4414.0,35.1
2022-01,2022,1,Electronics,Electronic Games,3,39,11161.0,3041.0,27.25
2022-01,2022,1,Electronics,Laptops,4,49,10437.0,3410.0,32.67
2022-01,2022,1,Electronics,Phones,3,30,13028.0,3539.0,27.16
2022-01,2022,1,Electronics,Printers,2,20,15451.0,3606.0,23.34
2022-01,2022,1,Furniture,Bookcases,2,6,2602.0,302.0,11.61
2022-01,2022,1,Furniture,Chairs,4,31,16747.0,6959.0,41.55
2022-01,2022,1,Furniture,Sofas,1,1,6389.0,734.0,11.49
2022-01,2022,1,Furniture,Tables,2,19,16173.0,2644.0,16.35
2022-01,2022,1,Office Supplies,Binders,2,20,16731.0,6059.0,36.21
2022-01,2022,1,Office Supplies,Markers,2,22,17286.0,5048.0,29.2
2022-01,2022,1,Office Supplies,Paper,2,15,7035.0,2105.0,29.92
2022-01,2022,1,Office Supplies,Pens,4,40,12579.0,2361.0,18.77
2022-02,2022,1,Electronics,Electronic Games,4,39,16367.0,5405.0,33.02
2022-02,2022,1,Electronics,Laptops,2,18,14940.0,3613.0,24.18
2022-02,2022,1,Electronics,Printers,3,31,10499.0,3836.0,36.54
2022-02,2022,1,Furniture,Bookcases,1,9,1368.0,406.0,29.68
2022-02,2022,1,Furniture,Chairs,3,28,18622.0,6713.0,36.05
2022-02,2022,1,Furniture,Sofas,3,36,5541.0,1871.0,33.77
2022-02,2022,1,Furniture,Tables,4,27,20836.0,2887.0,13.86
2022-02,2022,1,Office Supplies,Binders,1,10,3839.0,1415.0,36.86
2022-02,2022,1,Office Supplies,Markers,2,15,1493.0,568.0,38.04
2022-02,2022,1,Office Supplies,Paper,2,14,9942.0,1635.0,16.45
2022-02,2022,1,Office Supplies,Pens,1,3,3288.0,1477.0,44.92
2022-03,2022,1,Electronics,Electronic Games,2,33,16035.0,2719.0,16.96
2022-03,2022,1,Electronics,Laptops,3,26,12713.0,3739.0,29.41
2022-03,2022,1,Electronics,Phones,1,18,2685.0,379.0,14.12
2022-03,2022,1,Furniture,Chairs,2,24,11673.0,5224.0,44.75
2022-03,2022,1,Furniture,Sofas,2,29,8319.0,1715.0,20.62
2022-03,2022,1,Furniture,Tables,3,46,17773.0,6031.0,33.93
2022-03,2022,1,Office Supplies,Binders,1,1,5250.0,187.0,3.56
2022-03,2022,1,Office Supplies,Markers,3,36,12739.0,4316.0,33.88
2022-03,2022,1,Office Supplies,Paper,2,13,6608.0,2910.0,44.04
2022-04,2022,2,Electronics,Electronic Games,2,27,12494.0,3805.0,30.45
2022-04,2022,2,Electronics,Laptops,2,19,10026.0,296.0,2.95
2022-04,2022,2,Electronics,Phones,1,17,6212.0,1881.0,30.28
2022-04,2022,2,Electronics,Printers,1,17,5379.0,2510.0,46.66
2022-04,2022,2,Furniture,Bookcases,2,19,5014.0,1702.0,33.94
2022-04,2022,2,Furniture,Chairs,1,4,7595.0,2873.0,37.83
2022-04,2022,2,Furniture,Tables,2,35,8675.0,939.0,10.82
2022-04,2022,2,Office Supplies,Binders,2,17,13576.0,3571.0,26.3
2022-04,2022,2,Office Supplies,Markers,3,36,17540.0,1444.0,8.23
2022-04,2022,2,Office Supplies,Paper,2,15,9101.0,4233.0,46.51
2022-04,2022,2,Office Supplies,Pens,3,41,15261.0,4902.0,32.12
2022-05,2022,2,Electronics,Electronic Games,2,35,6366.0,640.0,10.05
2022-05,2022,2,Electronics,Laptops,3,36,21585.0,3609.0,16.72
2022-05,2022,2,Electronics,Phones,1,8,6034.0,608.0,10.08
2022-05,2022,2,Electronics,Printers,5,43,43636.0,8086.0,18.53
2022-05,2022,2,Furniture,Bookcases,1,13,8956.0,3359.0,37.51
2022-05,2022,2,Furniture,Sofas,3,34,18350.0,4422.0,24.1
2022-05,2022,2,Furniture,Tables,5,70,23131.0,5458.0,23.6
2022-05,2022,2,Office Supplies,Binders,1,19,8560.0,2166.0,25.3
2022-05,2022,2,Office Supplies,Markers,1,3,6123.0,1686.0,27.54
2022-05,2022,2,Office Supplies,Pens,1,15,972.0,106.0,10.91
2022-06,2022,2,Electronics,Electronic Games,4,37,10245.0,2651.0,25.88
2022-06,2022,2,Electronics,Laptops,4,49,17153.0,6497.0,37.88
2022-06,2022,2,Electronics,Phones,1,20,4911.0,186.0,3.79
2022-06,2022,2,Electronics,Printers,1,11,2701.0,322.0,11.92
2022-06,2022,2,Furniture,Bookcases,5,76,20072.0,6013.0,29.96
2022-06,2022,2,Furniture,Chairs,1,17,8089.0,3132.0,38.72
2022-06,2022,2,Furniture,Sofas,2,26,17005.0,6175.0,36.31
2022-06,2022,2,Furniture,Tables,1,16,9835.0,2571.0,26.14
2022-06,2022,2,Office Supplies,Binders,2,39,9802.0,2066.0,21.08
2022-06,2022,2,Office Supplies,Markers,1,13,9691.0,3056.0,31.53
2022-06,2022,2,Office Supplies,Paper,3,31,23317.0,9902.0,42.47
2022-06,2022,2,Office Supplies,Pens,2,21,14176.0,3391.0,23.92
2022-07,2022,3,Electronics,Electronic Games,2,39,9097.0,3800.0,41.77
2022-07,2022,3,Electronics,Laptops,1,6,5951.0,936.0,15.73
2022-07,2022,3,Electronics,Phones,2,21,6607.0,2763.0,41.82
2022-07,2022,3,Furniture,Bookcases,2,25,5422.0,1457.0,26.87
2022-07,2022,3,Furniture,Chairs,1,14,2666.0,559.0,20.97
2022-07,2022,3,Furniture,Sofas,1,17,5346.0,1246.0,23.31
2022-07,2022,3,Furniture,Tables,4,58,17763.0,3976.0,22.38
2022-07,2022,3,Office Supplies,Binders,1,18,962.0,298.0,30.98
2022-07,2022,3,Office Supplies,Markers,1,7,7195.0,1665.0,23.14
2022-07,2022,3,Office Supplies,Pens,1,12,736.0,286.0,38.86
2022-08,2022,3,Electronics,Electronic Games,1,14,4163.0,897.0,21.55
2022-08,2022,3,Electronics,Laptops,1,4,1341.0,615.0,45.86
2022-08,2022,3,Electronics,Phones,2,32,11229.0,4423.0,39.39
2022-08,2022,3,Electronics,Printers,3,54,19102.0,1921.0,10.06
2022-08,2022,3,Furniture,Bookcases,5,64,33291.0,9046.0,27.17
2022-08,2022,3,Furniture,Chairs,1,15,4015.0,1751.0,43.61
2022-08,2022,3,Furniture,Sofas,4,46,18043.0,4353.0,24.13
2022-08,2022,3,Furniture,Tables,2,20,14369.0,4806.0,33.45
2022-08,2022,3,Office Supplies,Binders,3,21,22512.0,4394.0,19.52
2022-08,2022,3,Office Supplies,Markers,3,42,19650.0,7762.0,39.5
2022-08,2022,3,Office Supplies,Paper,4,48,24407.0,8148.0,33.38
2022-08,2022,3,Office Supplies,Pens,4,49,26843.0,10802.0,40.24
2022-09,2022,3,Electronics,Electronic Games,1,19,9851.0,2669.0,27.09
2022-09,2022,3,Electronics,Laptops,1,6,4057.0,1012.0,24.94
2022-09,2022,3,Electronics,Phones,1,3,1078.0,309.0,28.66
2022-09,2022,3,Furniture,Sofas,1,13,5047.0,2211.0,43.81
2022-09,2022,3,Furniture,Tables,2,32,12452.0,4578.0,36.77
2022-09,2022,3,Office Supplies,Markers,1,13,8537.0,3586.0,42.01
2022-09,2022,3,Office Supplies,Paper,1,9,3228.0,476.0,14.75
2022-09,2022,3,Office Supplies,Pens,1,13,4369.0,584.0,13.37
2022-10,2022,4,Electronics,Electronic Games,1,13,1564.0,674.0,43.09
2022-10,2022,4,Electronics,Laptops,2,28,8745.0,3534.0,40.41
2022-10,2022,4,Electronics,Phones,3,24,16801.0,3152.0,18.76
2022-10,2022,4,Electronics,Printers,3,25,21084.0,6142.0,29.13
2022-10,2022,4,Furniture,Bookcases,1,5,9752.0,3618.0,37.1
2022-10,2022,4,Furniture,Chairs,3,35,19110.0,4303.0,22.52
2022-10,2022,4,Furniture,Sofas,3,38,11346.0,2410.0,21.24
2022-10,2022,4,Furniture,Tables,1,1,3132.0,963.0,30.75
2022-10,2022,4,Office Supplies,Binders,1,1,8548.0,2305.0,26.97
2022-10,2022,4,Office Supplies,Markers,3,26,21632.0,7360.0,34.02
2022-10,2022,4,Office Supplies,Paper,2,17,14991.0,1439.0,9.6
2022-10,2022,4,Office Supplies,Pens,5,50,18803.0,3107.0,16.52
2022-11,2022,4,Electronics,Electronic Games,1,9,3776.0,1100.0,29.13
2022-11,2022,4,Electronics,Laptops,1,10,883.0,117.0,13.25
2022-11,2022,4,Electronics,Phones,1,8,2727.0,663.0,24.31
2022-11,2022,4,Electronics,Printers,1,12,5462.0,673.0,12.32
2022-11,2022,4,Furniture,Bookcases,1,4,4863.0,2394.0,49.23
2022-11,2022,4,Furniture,Chairs,1,10,1757.0,622.0,35.4
2022-11,2022,4,Furniture,Tables,1,16,8127.0,3551.0,43.69
2022-11,2022,4,Office Supplies,Markers,1,3,4202.0,1171.0,27.87
2022-11,2022,4,Office Supplies,Pens,2,33,10996.0,2459.0,22.36
2022-12,2022,4,Electronics,Electronic Games,5,66,23557.0,6780.0,28.78
2022-12,2022,4,Electronics,Laptops,3,40,15677.0,3227.0,20.58
2022-12,2022,4,Electronics,Phones,6,70,28264.0,7276.0,25.74
2022-12,2022,4,Electronics,Printers,1,15,7377.0,320.0,4.34
2022-12,2022,4,Furniture,Bookcases,2,18,8093.0,3312.0,40.92
2022-12,2022,4,Furniture,Chairs,2,28,12262.0,4990.0,40.69
2022-12,2022,4,Furniture,Sofas,8,98,35736.0,5166.0,14.46
2022-12,2022,4,Furniture,Tables,3,29,10996.0,1346.0,12.24
2022-12,2022,4,Office Supplies,Binders,3,11,12165.0,2313.0,19.01
2022-12,2022,4,Office Supplies,Markers,6,62,29593.0,9889.0,33.42
2022-12,2022,4,Office Supplies,Paper,4,36,14421.0,2168.0,15.03
2022-12,2022,4,Office Supplies,Pens,2,32,6272.0,2128.0,33.93
2023-01,2023,1,Electronics,Electronic Games,1,15,3953.0,1776.0,44.93
2023-01,2023,1,Electronics,Laptops,3,34,11483.0,2230.0,19.42
2023-01,2023,1,Electronics,Phones,1,10,798.0,308.0,38.6
2023-01,2023,1,Electronics,Printers,3,39,15080.0,3582.0,23.75
2023-01,2023,1,Furniture,Sofas,2,29,5421.0,1055.0,19.46
2023-01,2023,1,Furniture,Tables,3,41,8982.0,1545.0,17.2
2023-01,2023,1,Office Supplies,Markers,1,16,8769.0,3178.0,36.24
2023-01,2023,1,Office Supplies,Paper,1,2,2901.0,1411.0,48.64
2023-01,2023,1,Office Supplies,Pens,1,6,6934.0,1152.0,16.61
2023-02,2023,1,Electronics,Phones,1,7,4918.0,1485.0,30.2
2023-02,2023,1,Furniture,Bookcases,1,19,6248.0,1168.0,18.69
2023-02,2023,1,Furniture,Chairs,3,36,9878.0,1768.0,17.9
2023-02,2023,1,Furniture,Tables,1,14,6304.0,766.0,12.15
2023-02,2023,1,Office Supplies,Binders,4,43,17368.0,4913.0,28.29
2023-02,2023,1,Office Supplies,Markers,1,5,3747.0,410.0,10.94
2023-02,2023,1,Office Supplies,Paper,1,19,8788.0,3944.0,44.88
2023-02,2023,1,Office Supplies,Pens,1,1,3731.0,647.0,17.34
2023-03,2023,1,Electronics,Electronic Games,3,45,19891.0,7764.0,39.03
2023-03,2023,1,Electronics,Laptops,2,33,9876.0,587.0,5.94
2023-03,2023,1,Electronics,Phones,4,21,23815.0,6936.0,29.12
2023-03,2023,1,Electronics,Printers,2,23,16254.0,6955.0,42.79
2023-03,2023,1,Furniture,Bookcases,1,12,3927.0,1133.0,28.85
2023-03,2023,1,Furniture,Sofas,2,24,10086.0,3244.0,32.16
2023-03,2023,1,Office Supplies,Binders,1,4,8526.0,1704.0,19.99
2023-03,2023,1,Office Supplies,Markers,1,15,7327.0,2596.0,35.43
2023-03,2023,1,Office Supplies,Pens,1,6,6147.0,2526.0,41.09
2023-04,2023,2,Electronics,Electronic Games,1,4,9438.0,1801.0,19.08
2023-04,2023,2,Electronics,Phones,2,4,10189.0,1424.0,13.98
2023-04,2023,2,Electronics,Printers,3,43,18340.0,4823.0,26.3
2023-04,2023,2,Furniture,Bookcases,2,25,6485.0,293.0,4.52
2023-04,2023,2,Furniture,Chairs,3,35,10092.0,3181.0,31.52
2023-04,2023,2,Furniture,Sofas,2,8,10154.0,2273.0,22.39
2023-04,2023,2,Furniture,Tables,4,54,21197.0,2830.0,13.35
2023-04,2023,2,Office Supplies,Markers,2,34,8800.0,3110.0,35.34
2023-04,2023,2,Office Supplies,Paper,2,11,4710.0,1719.0,36.5
2023-04,2023,2,Office Supplies,Pens,2,18,3704.0,648.0,17.49
2023-05,2023,2,Electronics,Electronic Games,1,10,2804.0,936.0,33.38
2023-05,2023,2,Electronics,Laptops,3,32,19902.0,2535.0,12.74
2023-05,2023,2,Electronics,Phones,2,21,1843.0,575.0,31.2
2023-05,2023,2,Electronics,Printers,3,36,24138.0,5109.0,21.17
2023-05,2023,2,Furniture,Bookcases,3,31,10873.0,4081.0,37.53
2023-05,2023,2,Furniture,Chairs,1,13,7930.0,1981.0,24.98
2023-05,2023,2,Furniture,Tables,1,6,3090.0,573.0,18.54
2023-05,2023,2,Office Supplies,Binders,2,16,6124.0,422.0,6.89
2023-05,2023,2,Office Supplies,Paper,1,9,6596.0,1439.0,21.82
2023-06,2023,2,Electronics,Electronic Games,2,12,18799.0,1699.0,9.04
2023-06,2023,2,Electronics,Laptops,3,23,12976.0,6109.0,47.08
