order_date,year_number,quarter_number,month_number,month_name,year_month,is_complete_year,is_complete_month
2020-08-24,2020,3,8,August,2020-08,1,1
2020-08-27,2020,3,8,August,2020-08,1,1
2020-08-28,2020,3,8,August,2020-08,1,1
2020-09-01,2020,3,9,September,2020-09,1,1
2020-09-04,2020,3,9,September,2020-09,1,1
2020-09-08,2020,3,9,September,2020-09,1,1
2020-09-09,2020,3,9,September,2020-09,1,1
2020-09-10,2020,3,9,September,2020-09,1,1
2020-09-12,2020,3,9,September,2020-09,1,1
2020-09-15,2020,3,9,September,2020-09,1,1
2020-09-21,2020,3,9,September,2020-09,1,1
2020-09-26,2020,3,9,September,2020-09,1,1
2020-09-30,2020,3,9,September,2020-09,1,1
2020-10-01,2020,4,10,October,2020-10,1,1
2020-10-02,2020,4,10,October,2020-10,1,1
2020-10-08,2020,4,10,October,2020-10,1,1
2020-10-11,2020,4,10,October,2020-10,1,1
2020-10-15,2020,4,10,October,2020-10,1,1
2020-10-17,2020,4,10,October,2020-10,1,1
2020-10-20,2020,4,10,October,2020-10,1,1
2020-10-21,2020,4,10,October,2020-10,1,1
2020-10-23,2020,4,10,October,2020-10,1,1
2020-10-26,2020,4,10,October,2020-10,1,1
2020-10-27,2020,4,10,October,2020-10,1,1
2020-10-28,2020,4,10,October,2020-10,1,1
2020-11-03,2020,4,11,November,2020-11,1,1
2020-11-06,2020,4,11,November,2020-11,1,1
2020-11-09,2020,4,11,November,2020-11,1,1
2020-11-10,2020,4,11,November,2020-11,1,1
2020-11-16,2020,4,11,November,2020-11,1,1
2020-11-19,2020,4,11,November,2020-11,1,1
2020-11-21,2020,4,11,November,2020-11,1,1
2020-11-23,2020,4,11,November,2020-11,1,1
2020-11-25,2020,4,11,November,2020-11,1,1
2020-11-27,2020,4,11,November,2020-11,1,1
2020-11-28,2020,4,11,November,2020-11,1,1
2020-11-29,2020,4,11,November,2020-11,1,1
2020-11-30,2020,4,11,November,2020-11,1,1
2020-12-05,2020,4,12,December,2020-12,1,1
2020-12-13,2020,4,12,December,2020-12,1,1
2020-12-15,2020,4,12,December,2020-12,1,1
2020-12-16,2020,4,12,December,2020-12,1,1
2020-12-17,2020,4,12,December,2020-12,1,1
2020-12-21,2020,4,12,December,2020-12,1,1
2020-12-23,2020,4,12,December,2020-12,1,1
2020-12-24,2020,4,12,December,2020-12,1,1
2020-12-27,2020,4,12,December,2020-12,1,1
2020-12-31,2020,4,12,December,2020-12,1,1
2021-01-03,2021,1,1,January,2021-01,1,1
2021-01-04,2021,1,1,January,2021-01,1,1
2021-01-19,2021,1,1,January,2021-01,1,1
2021-01-21,2021,1,1,January,2021-01,1,1
2021-01-30,2021,1,1,January,2021-01,1,1
2021-02-04,2021,1,2,February,2021-02,1,1
2021-02-06,2021,1,2,February,2021-02,1,1
2021-02-09,2021,1,2,February,2021-02,1,1
2021-02-10,2021,1,2,February,2021-02,1,1
2021-02-12,2021,1,2,February,2021-02,1,1
2021-02-14,2021,1,2,February,2021-02,1,1
2021-02-17,2021,1,2,February,2021-02,1,1
2021-02-18,2021,1,2,February,2021-02,1,1
2021-02-22,2021,1,2,February,2021-02,1,1
2021-02-28,2021,1,2,February,2021-02,1,1
2021-03-01,2021,1,3,March,2021-03,1,1
2021-03-03,2021,1,3,March,2021-03,1,1
2021-03-05,2021,1,3,March,2021-03,1,1
2021-03-06,2021,1,3,March,2021-03,1,1
2021-03-07,2021,1,3,March,2021-03,1,1
2021-03-12,2021,1,3,March,2021-03,1,1
2021-03-13,2021,1,3,March,2021-03,1,1
2021-03-14,2021,1,3,March,2021-03,1,1
2021-03-18,2021,1,3,March,2021-03,1,1
2021-03-21,2021,1,3,March,2021-03,1,1
2021-03-24,2021,1,3,March,2021-03,1,1
2021-03-25,2021,1,3,March,2021-03,1,1
2021-03-28,2021,1,3,March,2021-03,1,1
2021-04-01,2021,2,4,April,2021-04,1,1
2021-04-03,2021,2,4,April,2021-04,1,1
2021-04-04,2021,2,4,April,2021-04,1,1
2021-04-05,2021,2,4,April,2021-04,1,1
2021-04-12,2021,2,4,April,2021-04,1,1
2021-04-19,2021,2,4,April,2021-04,1,1
2021-04-27,2021,2,4,April,2021-04,1,1
2021-04-30,2021,2,4,April,2021-04,1,1
2021-05-03,2021,2,5,May,2021-05,1,1
2021-05-07,2021,2,5,May,2021-05,1,1
2021-05-08,2021,2,5,May,2021-05,1,1
2021-05-12,2021,2,5,May,2021-05,1,1
2021-05-15,2021,2,5,May,2021-05,1,1
2021-05-16,2021,2,5,May,2021-05,1,1
2021-05-18,2021,2,5,May,2021-05,1,1
2021-05-25,2021,2,5,May,2021-05,1,1
2021-05-27,2021,2,5,May,2021-05,1,1
2021-05-28,2021,2,5,May,2021-05,1,1
2021-06-02,2021,2,6,June,2021-06,1,1
2021-06-03,2021,2,6,June,2021-06,1,1
2021-06-04,2021,2,6,June,2021-06,1,1
2021-06-05,2021,2,6,June,2021-06,1,1
2021-06-06,2021,2,6,June,2021-06,1,1
2021-06-07,2021,2,6,June,2021-06,1,1
2021-06-11,2021,2,6,June,2021-06,1,1
2021-06-13,2021,2,6,June,2021-06,1,1
2021-06-14,2021,2,6,June,2021-06,1,1
2021-06-15,2021,2,6,June,2021-06,1,1
2021-06-17,2021,2,6,June,2021-06,1,1
2021-06-18,2021,2,6,June,2021-06,1,1
2021-06-27,2021,2,6,June,2021-06,1,1
2021-07-05,2021,3,7,July,2021-07,1,1
2021-07-08,2021,3,7,July,2021-07,1,1
2021-07-09,2021,3,7,July,2021-07,1,1
2021-07-12,2021,3,7,July,2021-07,1,1
2021-07-18,2021,3,7,July,2021-07,1,1
2021-07-21,2021,3,7,July,2021-07,1,1
2021-07-25,2021,3,7,July,2021-07,1,1
2021-07-31,2021,3,7,July,2021-07,1,1
2021-08-02,2021,3,8,August,2021-08,1,1
2021-08-06,2021,3,8,August,2021-08,1,1
2021-08-09,2021,3,8,August,2021-08,1,1
2021-08-10,2021,3,8,August,2021-08,1,1
2021-08-12,2021,3,8,August,2021-08,1,1
2021-08-13,2021,3,8,August,2021-08,1,1
2021-08-17,2021,3,8,August,2021-08,1,1
2021-08-19,2021,3,8,August,2021-08,1,1
2021-08-21,2021,3,8,August,2021-08,1,1
2021-08-24,2021,3,8,August,2021-08,1,1
2021-08-29,2021,3,8,August,2021-08,1,1
2021-09-06,2021,3,9,September,2021-09,1,1
2021-09-08,2021,3,9,September,2021-09,1,1
2021-09-09,2021,3,9,September,2021-09,1,1
2021-09-14,2021,3,9,September,2021-09,1,1
2021-09-15,2021,3,9,September,2021-09,1,1
2021-09-30,2021,3,9,September,2021-09,1,1
2021-10-02,2021,4,10,October,2021-10,1,1
2021-10-04,2021,4,10,October,2021-10,1,1
2021-10-05,2021,4,10,October,2021-10,1,1
2021-10-06,2021,4,10,October,2021-10,1,1
2021-10-09,2021,4,10,October,2021-10,1,1
2021-10-12,2021,4,10,October,2021-10,1,1
2021-10-17,2021,4,10,October,2021-10,1,1
2021-10-19,2021,4,10,October,2021-10,1,1
2021-10-20,2021,4,10,October,2021-10,1,1
2021-10-23,2021,4,10,October,2021-10,1,1
2021-10-26,2021,4,10,October,2021-10,1,1
2021-10-29,2021,4,10,October,2021-10,1,1
2021-10-31,2021,4,10,October,2021-10,1,1
2021-11-01,2021,4,11,November,2021-11,1,1
2021-11-06,2021,4,11,November,2021-11,1,1
2021-11-11,2021,4,11,November,2021-11,1,1
2021-11-12,2021,4,11,November,2021-11,1,1
2021-11-13,2021,4,11,November,2021-11,1,1
2021-11-16,2021,4,11,November,2021-11,1,1
2021-11-20,2021,4,11,November,2021-11,1,1
2021-11-23,2021,4,11,November,2021-11,1,1
2021-11-24,2021,4,11,November,2021-11,1,1
2021-11-26,2021,4,11,November,2021-11,1,1
2021-11-27,2021,4,11,November,2021-11,1,1
2021-11-29,2021,4,11,November,2021-11,1,1
2021-12-01,2021,4,12,December,2021-12,1,1
2021-12-03,2021,4,12,December,2021-12,1,1
2021-12-05,2021,4,12,December,2021-12,1,1
2021-12-07,2021,4,12,December,2021-12,1,1
2021-12-12,2021,4,12,December,2021-12,1,1
2021-12-13,2021,4,12,December,2021-12,1,1
2021-12-14,2021,4,12,December,2021-12,1,1
2021-12-17,2021,4,12,December,2021-12,1,1
2021-12-22,2021,4,12,December,2021-12,1,1
2021-12-24,2021,4,12,December,2021-12,1,1
2021-12-25,2021,4,12,December,2021-12,1,1
2021-12-28,2021,4,12,December,2021-12,1,1
2021-12-29,2021,4,12,December,2021-12,1,1
2021-12-31,2021,4,12,December,2021-12,1,1
2022-01-02,2022,1,1,January,2022-01,1,1
2022-01-04,2022,1,1,January,2022-01,1,1
2022-01-05,2022,1,1,January,2022-01,1,1
2022-01-08,2022,1,1,January,2022-01,1,1
2022-01-10,2022,1,1,January,2022-01,1,1
2022-01-11,2022,1,1,January,2022-01,1,1
2022-01-13,2022,1,1,January,2022-01,1,1
2022-01-14,2022,1,1,January,2022-01,1,1
2022-01-15,2022,1,1,January,2022-01,1,1
2022-01-16,2022,1,1,January,2022-01,1,1
2022-01-17,2022,1,1,January,2022-01,1,1
2022-01-18,2022,1,1,January,2022-01,1,1
2022-01-19,2022,1,1,January,2022-01,1,1
2022-01-20,2022,1,1,January,2022-01,1,1
2022-01-23,2022,1,1,January,2022-01,1,1
2022-01-25,2022,1,1,January,2022-01,1,1
2022-02-03,2022,1,2,February,2022-02,1,1
2022-02-04,2022,1,2,February,2022-02,1,1
2022-02-06,2022,1,2,February,2022-02,1,1
2022-02-10,2022,1,2,February,2022-02,1,1
2022-02-11,2022,1,2,February,2022-02,1,1
2022-02-15,2022,1,2,February,2022-02,1,1
2022-02-18,2022,1,2,February,2022-02,1,1
2022-02-19,2022,1,2,February,2022-02,1,1
2022-02-22,2022,1,2,February,2022-02,1,1
2022-02-23,2022,1,2,February,2022-02,1,1
2022-02-24,2022,1,2,February,2022-02,1,1
2022-02-26,2022,1,2,February,2022-02,1,1
2022-02-28,2022,1,2,February,2022-02,1,1
2022-03-08,2022,1,3,March,2022-03,1,1
2022-03-15,2022,1,3,March,2022-03,1,1
2022-03-16,2022,1,3,March,2022-03,1,1
2022-03-17,2022,1,3,March,2022-03,1,1
2022-03-20,2022,1,3,March,2022-03,1,1
2022-03-22,2022,1,3,March,2022-03,1,1
2022-03-23,2022,1,3,March,2022-03,1,1
2022-03-25,2022,1,3,March,2022-03,1,1
2022-03-28,2022,1,3,March,2022-03,1,1
2022-03-29,2022,1,3,March,2022-03,1,1
2022-04-08,2022,2,4,April,2022-04,1,1
2022-04-11,2022,2,4,April,2022-04,1,1
2022-04-12,2022,2,4,April,2022-04,1,1
2022-04-15,2022,2,4,April,2022-04,1,1
2022-04-16,2022,2,4,April,2022-04,1,1
2022-04-19,2022,2,4,April,2022-04,1,1
2022-04-21,2022,2,4,April,2022-04,1,1
2022-04-23,2022,2,4,April,2022-04,1,1
2022-04-24,2022,2,4,April,2022-04,1,1
2022-04-30,2022,2,4,April,2022-04,1,1
2022-05-01,2022,2,5,May,2022-05,1,1
2022-05-06,2022,2,5,May,2022-05,1,1
2022-05-07,2022,2,5,May,2022-05,1,1
2022-05-10,2022,2,5,May,2022-05,1,1
2022-05-13,2022,2,5,May,2022-05,1,1
2022-05-14,2022,2,5,May,2022-05,1,1
2022-05-15,2022,2,5,May,2022-05,1,1
2022-05-16,2022,2,5,May,2022-05,1,1
2022-05-17,2022,2,5,May,2022-05,1,1
2022-05-18,2022,2,5,May,2022-05,1,1
2022-05-23,2022,2,5,May,2022-05,1,1
2022-05-27,2022,2,5,May,2022-05,1,1
2022-05-30,2022,2,5,May,2022-05,1,1
2022-06-04,2022,2,6,June,2022-06,1,1
2022-06-05,2022,2,6,June,2022-06,1,1
2022-06-06,2022,2,6,June,2022-06,1,1
2022-06-08,2022,2,6,June,2022-06,1,1
2022-06-09,2022,2,6,June,2022-06,1,1
2022-06-10,2022,2,6,June,2022-06,1,1
2022-06-13,2022,2,6,June,2022-06,1,1
2022-06-18,2022,2,6,June,2022-06,1,1
2022-06-19,2022,2,6,June,2022-06,1,1
2022-06-24,2022,2,6,June,2022-06,1,1
2022-06-27,2022,2,6,June,2022-06,1,1
2022-06-29,2022,2,6,June,2022-06,1,1
2022-07-04,2022,3,7,July,2022-07,1,1
2022-07-05,2022,3,7,July,2022-07,1,1
2022-07-13,2022,3,7,July,2022-07,1,1
2022-07-15,2022,3,7,July,2022-07,1,1
2022-07-16,2022,3,7,July,2022-07,1,1
2022-07-17,2022,3,7,July,2022-07,1,1
2022-07-18,2022,3,7,July,2022-07,1,1
2022-07-22,2022,3,7,July,2022-07,1,1
2022-07-23,2022,3,7,July,2022-07,1,1
2022-07-25,2022,3,7,July,2022-07,1,1
2022-07-26,2022,3,7,July,2022-07,1,1
2022-07-28,2022,3,7,July,2022-07,1,1
2022-08-01,2022,3,8,August,2022-08,1,1
2022-08-08,2022,3,8,August,2022-08,1,1
2022-08-09,2022,3,8,August,2022-08,1,1
2022-08-10,2022,3,8,August,2022-08,1,1
2022-08-11,2022,3,8,August,2022-08,1,1
2022-08-12,2022,3,8,August,2022-08,1,1
2022-08-17,2022,3,8,August,2022-08,1,1
2022-08-19,2022,3,8,August,2022-08,1,1
2022-08-20,2022,3,8,August,2022-08,1,1
2022-08-21,2022,3,8,August,2022-08,1,1
2022-08-22,2022,3,8,August,2022-08,1,1
2022-08-23,2022,3,8,August,2022-08,1,1
2022-08-25,2022,3,8,August,2022-08,1,1
2022-08-28,2022,3,8,August,2022-08,1,1
2022-08-29,2022,3,8,August,2022-08,1,1
2022-08-30,2022,3,8,August,2022-08,1,1
2022-09-03,2022,3,9,September,2022-09,1,1
2022-09-12,2022,3,9,September,2022-09,1,1
2022-09-16,2022,3,9,September,2022-09,1,1
2022-09-19,2022,3,9,September,2022-09,1,1
2022-09-22,2022,3,9,September,2022-09,1,1
2022-09-29,2022,3,9,September,2022-09,1,1
2022-10-04,2022,4,10,October,2022-10,1,1
2022-10-06,2022,4,10,October,2022-10,1,1
2022-10-07,2022,4,10,October,2022-10,1,1
2022-10-08,2022,4,10,October,2022-10,1,1
2022-10-12,2022,4,10,October,2022-10,1,1
2022-10-19,2022,4,10,October,2022-10,1,1
2022-10-20,2022,4,10,October,2022-10,1,1
2022-10-21,2022,4,10,October,2022-10,1,1
2022-10-22,2022,4,10,October,2022-10,1,1
2022-10-30,2022,4,10,October,2022-10,1,1
2022-10-31,2022,4,10,October,2022-10,1,1
2022-11-03,2022,4,11,November,2022-11,1,1
2022-11-07,2022,4,11,November,2022-11,1,1
2022-11-12,2022,4,11,November,2022-11,1,1
2022-11-13,2022,4,11,November,2022-11,1,1
2022-11-16,2022,4,11,November,2022-11,1,1
2022-11-18,2022,4,11,November,2022-11,1,1
2022-11-20,2022,4,11,November,2022-11,1,1
2022-11-23,2022,4,11,November,2022-11,1,1
2022-12-03,2022,4,12,December,2022-12,1,1
2022-12-05,2022,4,12,December,2022-12,1,1
2022-12-07,2022,4,12,December,2022-12,1,1
2022-12-08,2022,4,12,December,2022-12,1,1
2022-12-12,2022,4,12,December,2022-12,1,1
2022-12-15,2022,4,12,December,2022-12,1,1
2022-12-16,2022,4,12,December,2022-12,1,1
2022-12-17,2022,4,12,December,2022-12,1,1
2022-12-20,2022,4,12,December,2022-12,1,1
2022-12-21,2022,4,12,December,2022-12,1,1
2022-12-22,2022,4,12,December,2022-12,1,1
2022-12-23,2022,4,12,December,2022-12,1,1
2022-12-25,2022,4,12,December,2022-12,1,1
2022-12-26,2022,4,12,December,2022-12,1,1
2022-12-27,2022,4,12,December,2022-12,1,1
2022-12-28,2022,4,12,December,2022-12,1,1
2023-01-06,2023,1,1,January,2023-01,1,1
2023-01-11,2023,1,1,January,2023-01,1,1
2023-01-12,2023,1,1,January,2023-01,1,1
2023-01-17,2023,1,1,January,2023-01,1,1
2023-01-18,2023,1,1,January,2023-01,1,1
2023-01-20,2023,1,1,January,2023-01,1,1
2023-01-22,2023,1,1,January,2023-01,1,1
2023-01-23,2023,1,1,January,2023-01,1,1
2023-01-26,2023,1,1,January,2023-01,1,1
2023-01-28,2023,1,1,January,2023-01,1,1
2023-01-29,2023,1,1,January,2023-01,1,1
2023-02-02,2023,1,2,February,2023-02,1,1
2023-02-03,2023,1,2,February,2023-02,1,1
2023-02-17,2023,1,2,February,2023-02,1,1
2023-02-23,2023,1,2,February,2023-02,1,1
2023-02-28,2023,1,2,February,2023-02,1,1
2023-03-01,2023,1,3,March,2023-03,1,1
2023-03-04,2023,1,3,March,2023-03,1,1
2023-03-09,2023,1,3,March,2023-03,1,1
2023-03-10,2023,1,3,March,2023-03,1,1
2023-03-14,2023,1,3,March,2023-03,1,1
2023-03-16,2023,1,3,March,2023-03,1,1
2023-03-18,2023,1,3,March,2023-03,1,1
2023-03-21,2023,1,3,March,2023-03,1,1
2023-04-01,2023,2,4,April,2023-04,1,1
2023-04-02,2023,2,4,April,2023-04,1,1
2023-04-05,2023,2,4,April,2023-04,1,1
2023-04-06,2023,2,4,April,2023-04,1,1
2023-04-07,2023,2,4,April,2023-04,1,1
2023-04-09,2023,2,4,April,2023-04,1,1
2023-04-17,2023,2,4,April,2023-04,1,1
2023-04-19,2023,2,4,April,2023-04,1,1
2023-04-24,2023,2,4,April,2023-04,1,1
2023-04-25,2023,2,4,April,2023-04,1,1
2023-04-28,2023,2,4,April,2023-04,1,1
2023-05-03,2023,2,5,May,2023-05,1,1
2023-05-04,2023,2,5,May,2023-05,1,1
2023-05-08,2023,2,5,May,2023-05,1,1
2023-05-10,2023,2,5,May,2023-05,1,1
2023-05-14,2023,2,5,May,2023-05,1,1
2023-05-19,2023,2,5,May,2023-05,1,1
2023-05-24,2023,2,5,May,2023-05,1,1
2023-05-27,2023,2,5,May,2023-05,1,1
2023-05-29,2023,2,5,May,2023-05,1,1
2023-05-31,2023,2,5,May,2023-05,1,1
2023-06-01,2023,2,6,June,2023-06,1,1
2023-06-04,2023,2,6,June,2023-06,1,1
2023-06-05,2023,2,6,June,2023-06,1,1
2023-06-07,2023,2,6,June,2023-06,1,1
2023-06-08,2023,2,6,June,2023-06,1,1
2023-06-15,2023,2,6,June,2023-06,1,1
2023-06-22,2023,2,6,June,2023-06,1,1
2023-06-25,2023,2,6,June,2023-06,1,1
2023-06-26,2023,2,6,June,2023-06,1,1
2023-06-27,2023,2,6,June,2023-06,1,1
2023-07-02,2023,3,7,July,2023-07,1,1
2023-07-03,2023,3,7,July,2023-07,1,1
2023-07-05,2023,3,7,July,2023-07,1,1
2023-07-07,2023,3,7,July,2023-07,1,1
2023-07-10,2023,3,7,July,2023-07,1,1
2023-07-13,2023,3,7,July,2023-07,1,1
2023-07-14,2023,3,7,July,2023-07,1,1
2023-07-15,2023,3,7,July,2023-07,1,1
2023-07-16,2023,3,7,July,2023-07,1,1
2023-07-17,2023,3,7,July,2023-07,1,1
2023-07-18,2023,3,7,July,2023-07,1,1
2023-07-20,2023,3,7,July,2023-07,1,1
2023-07-22,2023,3,7,July,2023-07,1,1
2023-07-25,2023,3,7,July,2023-07,1,1
2023-07-28,2023,3,7,July,2023-07,1,1
2023-07-30,2023,3,7,July,2023-07,1,1
2023-08-04,2023,3,8,August,2023-08,1,1
2023-08-12,2023,3,8,August,2023-08,1,1
2023-08-13,2023,3,8,August,2023-08,1,1
2023-08-17,2023,3,8,August,2023-08,1,1
2023-08-19,2023,3,8,August,2023-08,1,1
2023-08-20,2023,3,8,August,2023-08,1,1
2023-08-21,2023,3,8,August,2023-08,1,1
2023-08-23,2023,3,8,August,2023-08,1,1
2023-08-31,2023,3,8,August,2023-08,1,1
2023-09-01,2023,3,9,September,2023-09,1,1
2023-09-04,2023,3,9,September,2023-09,1,1
2023-09-07,2023,3,9,September,2023-09,1,1
2023-09-10,2023,3,9,September,2023-09,1,1
2023-09-13,2023,3,9,September,2023-09,1,1
2023-09-14,2023,3,9,September,2023-09,1,1
2023-09-17,2023,3,9,September,2023-09,1,1
2023-09-18,2023,3,9,September,2023-09,1,1
2023-09-20,2023,3,9,September,2023-09,1,1
2023-09-23,2023,3,9,September,2023-09,1,1
2023-09-27,2023,3,9,September,2023-09,1,1
2023-09-30,2023,3,9,September,2023-09,1,1
2023-10-05,2023,4,10,October,2023-10,1,1
2023-10-07,2023,4,10,October,2023-10,1,1
2023-10-11,2023,4,10,October,2023-10,1,1
2023-10-13,2023,4,10,October,2023-10,1,1
2023-10-17,2023,4,10,October,2023-10,1,1
2023-10-18,2023,4,10,October,2023-10,1,1
2023-10-20,2023,4,10,October,2023-10,1,1
2023-10-24,2023,4,10,October,2023-10,1,1
2023-10-25,2023,4,10,October,2023-10,1,1
2023-10-27,2023,4,10,October,2023-10,1,1
2023-10-28,2023,4,10,October,2023-10,1,1
2023-10-29,2023,4,10,October,2023-10,1,1
2023-11-02,2023,4,11,November,2023-11,1,1
2023-11-04,2023,4,11,November,2023-11,1,1
2023-11-05,2023,4,11,November,2023-11,1,1
2023-11-06,2023,4,11,November,2023-11,1,1
2023-11-07,2023,4,11,November,2023-11,1,1
2023-11-09,2023,4,11,November,2023-11,1,1
2023-11-12,2023,4,11,November,2023-11,1,1
2023-11-18,2023,4,11,November,2023-11,1,1
2023-11-24,2023,4,11,November,2023-11,1,1
2023-11-25,2023,4,11,November,2023-11,1,1
2023-11-28,2023,4,11,November,2023-11,1,1
2023-11-29,2023,4,11,November,2023-11,1,1
2023-11-30,2023,4,11,November,2023-11,1,1
2023-12-04,2023,4,12,December,2023-12,1,1
2023-12-07,2023,4,12,December,2023-12,1,1
2023-12-08,2023,4,12,December,2023-12,1,1
2023-12-09,2023,4,12,December,2023-12,1,1
2023-12-13,2023,4,12,December,2023-12,1,1
2023-12-14,2023,4,12,December,2023-12,1,1
2023-12-16,2023,4,12,December,2023-12,1,1
2023-12-21,2023,4,12,December,2023-12,1,1
2023-12-24,2023,4,12,December,2023-12,1,1
2023-12-27,2023,4,12,December,2023-12,1,1
2023-12-28,2023,4,12,December,2023-12,1,1
2024-01-05,2024,1,1,January,2024-01,1,1
2024-01-10,2024,1,1,January,2024-01,1,1
2024-01-13,2024,1,1,January,2024-01,1,1
2024-01-17,2024,1,1,January,2024-01,1,1
2024-01-19,2024,1,1,January,2024-01,1,1
2024-01-22,2024,1,1,January,2024-01,1,1
2024-01-23,2024,1,1,January,2024-01,1,1
2024-01-24,2024,1,1,January,2024-01,1,1
2024-01-28,2024,1,1,January,2024-01,1,1
2024-02-01,2024,1,2,February,2024-02,1,1
2024-02-02,2024,1,2,February,2024-02,1,1
2024-02-07,2024,1,2,February,2024-02,1,1
2024-02-10,2024,1,2,February,2024-02,1,1
2024-02-11,2024,1,2,February,2024-02,1,1
2024-02-12,2024,1,2,February,2024-02,1,1
2024-02-13,2024,1,2,February,2024-02,1,1
2024-02-16,2024,1,2,February,2024-02,1,1
2024-02-19,2024,1,2,February,2024-02,1,1
2024-02-20,2024,1,2,February,2024-02,1,1
2024-02-21,2024,1,2,February,2024-02,1,1
2024-02-25,2024,1,2,February,2024-02,1,1
2024-02-28,2024,1,2,February,2024-02,1,1
2024-03-02,2024,1,3,March,2024-03,1,1
2024-03-04,2024,1,3,March,2024-03,1,1
2024-03-10,2024,1,3,March,2024-03,1,1
2024-03-11,2024,1,3,March,2024-03,1,1
2024-03-12,2024,1,3,March,2024-03,1,1
2024-03-13,2024,1,3,March,2024-03,1,1
2024-03-15,2024,1,3,March,2024-03,1,1
2024-03-17,2024,1,3,March,2024-03,1,1
2024-03-21,2024,1,3,March,2024-03,1,1
2024-03-23,2024,1,3,March,2024-03,1,1
2024-03-24,2024,1,3,March,2024-03,1,1
2024-03-27,2024,1,3,March,2024-03,1,1
2024-03-30,2024,1,3,March,2024-03,1,1
2024-04-02,2024,2,4,April,2024-04,1,1
2024-04-07,2024,2,4,April,2024-04,1,1
2024-04-10,2024,2,4,April,2024-04,1,1
2024-04-13,2024,2,4,April,2024-04,1,1
2024-04-16,2024,2,4,April,2024-04,1,1
2024-04-23,2024,2,4,April,2024-04,1,1
2024-04-24,2024,2,4,April,2024-04,1,1
2024-04-25,2024,2,4,April,2024-04,1,1
2024-04-29,2024,2,4,April,2024-04,1,1
2024-05-01,2024,2,5,May,2024-05,1,1
2024-05-02,2024,2,5,May,2024-05,1,1
2024-05-05,2024,2,5,May,2024-05,1,1
2024-05-08,2024,2,5,May,2024-05,1,1
2024-05-11,2024,2,5,May,2024-05,1,1
2024-05-13,2024,2,5,May,2024-05,1,1
2024-05-14,2024,2,5,May,2024-05,1,1
2024-05-19,2024,2,5,May,2024-05,1,1
2024-05-20,2024,2,5,May,2024-05,1,1
2024-05-21,2024,2,5,May,2024-05,1,1
2024-05-24,2024,2,5,May,2024-05,1,1
2024-05-26,2024,2,5,May,2024-05,1,1
2024-05-28,2024,2,5,May,2024-05,1,1
2024-05-29,2024,2,5,May,2024-05,1,1
2024-05-30,2024,2,5,May,2024-05,1,1
2024-05-31,2024,2,5,May,2024-05,1,1
2024-06-06,2024,2,6,June,2024-06,1,1
2024-06-07,2024,2,6,June,2024-06,1,1
2024-06-08,2024,2,6,June,2024-06,1,1
2024-06-12,2024,2,6,June,2024-06,1,1
2024-06-15,2024,2,6,June,2024-06,1,1
2024-06-16,2024,2,6,June,2024-06,1,1
2024-06-22,2024,2,6,June,2024-06,1,1
